Column Name,Column Type,Description,Is Required,Default Value
Repository Name,text,Display name of the code repository,true,
Repository URL,link,URL to repository homepage or landing page,false,
GitHub URL,link,URL on GitHub if hosted there,false,
Software Heritage ID,text,Software Heritage intrinsic identifier (SWHID) if available,false,
Description,long_text,Repository description and purpose,false,
Programming Languages,text,Primary programming languages separated by semicolon,false,
Software Version,text,Current or latest version number,false,
Development Status,select,Status: Planning, Pre-Alpha, Alpha, Beta, Production/Stable, Mature, Inactive,false,Production/Stable
License,text,License type (e.g., MIT, GPL-3.0, Apache-2.0),false,
Repository Type,select,Type: Application, Library, Framework, Tool, Plugin, Dataset, Benchmark, Other,false,
Operating Systems,text,Supported operating systems separated by semicolon,false,
Runtime Platform,text,Required runtime platform or interpreter,false,
Dependency List,long_text,Key dependencies listed,false,
Build Instructions,long_text,Instructions for building or installing,false,
Test Framework,text,Testing framework used (e.g., pytest, Jest, JUnit),false,
Code Coverage,number,Code coverage percentage (0-100),false,
Continuous Integration,link,URL to CI/CD pipeline or status,false,
Documentation URL,link,URL to documentation or README,false,
Issue Tracker,link,URL to issue tracker or GitHub Issues,false,
Stars Count,number,Number of GitHub stars,false,
Forks Count,number,Number of GitHub forks,false,
Download Count,number,Number of downloads (from PyPI, npm, etc),false,
Associated Papers,link,Links to papers describing or using this code,false,
Associated Datasets,link,Links to datasets used by this code,false,
Associated Models,link,Links to models related to this code,false,
Maintainers,text,Current maintainers separated by semicolon,false,
Contributors,text,Key contributors separated by semicolon,false,
Topics,text,Repository topics separated by semicolon,false,
Status,select,Curation status: Draft, Reviewed, Published, Archived,false,Draft
Notes,long_text,Internal notes and commentary,false,
Created Date,datetime,When record was created,false,
Updated Date,datetime,When record was last updated,false,
