Column Name,Column Type,Description,Is Required,Default Value
Dataset Name,text,Display name of the dataset,true,
DOI,text,Digital Object Identifier (DOI),false,
Repository URL,link,URL to dataset repository or landing page,false,
Zenodo URL,link,URL on Zenodo if hosted there,false,
Access Level,select,Access level: Open, Registered, Controlled, Embargoed, Restricted, Closed,false,Open
Download URL,link,Direct download URL if available,false,
Data Type,select,Primary data type: Tabular, Text, Image, Audio, Video, Genomic, Proteomic, Single Cell, Time Series, Graph, Geospatial, Mixed, Other,false,
Data Formats,text,File formats separated by semicolon (CSV, JSON, HDF5, etc),false,
Record Count,number,Number of records or samples,false,
Size (bytes),number,Total dataset size in bytes,false,
Number of Files,number,Number of files in dataset,false,
Schema Description,long_text,Description of dataset structure and columns,false,
Variables,text,Variable names separated by semicolon,false,
Temporal Coverage Start,date,Start date of temporal coverage,false,
Temporal Coverage End,date,End date of temporal coverage,false,
Spatial Coverage,text,Geographic or spatial coverage region,false,
Species Coverage,text,Species or organisms if applicable,false,
Collection Method,text,How data was collected,false,
Processing Pipeline,text,Data processing steps applied,false,
Quality Annotation,long_text,Quality metrics and data quality notes,false,
Completeness,text,Completeness or missing data information,false,
Derived From Datasets,link,Links to datasets this was derived from,false,
Is Training Data For,link,Links to models trained on this dataset,false,
Is Evaluation Data For,link,Links to models evaluated on this dataset,false,
Associated Papers,link,Links to papers using this dataset,false,
Associated Code,link,Links to code repositories using this dataset,false,
Associated Models,link,Links to models trained on this dataset,false,
License,text,License type (e.g., CC-BY-4.0, ODC-BY),false,
Data Use Conditions,text,Restrictions or conditions on data use,false,
FAIR Score,number,FAIR score (0-100) if available,false,
Topics,text,Dataset topics separated by semicolon,false,
Status,select,Curation status: Draft, Reviewed, Published, Archived,false,Draft
Notes,long_text,Internal notes and commentary,false,
Created Date,datetime,When record was created,false,
Updated Date,datetime,When record was last updated,false,
