Column Name,Column Type,Description,Is Required,Default Value
Title,text,Paper title or bibliographic resource name,true,
DOI,text,Digital Object Identifier (DOI) in format 10.xxxx/xxx,false,
URL,link,URL to paper (PubMed, arXiv, publisher page),false,
Authors,text,Authors separated by semicolon,false,
Publication Year,date,Year paper was published,false,
Publication Venue,text,Journal name or conference name,false,
Publication Type,select,Type of publication: Article, Preprint, Book, BookChapter, ReviewArticle, ConferencePaper, Thesis, Report, Dataset, Software, Other,false,
Abstract,long_text,Paper abstract or summary,false,
Access Level,select,Data access level: Open, Registered, Controlled, Embargoed, Restricted, Closed,false,Open
Associated Code,link,Link to associated code repository on Monday.com,false,
Associated Datasets,link,Link to associated datasets on Monday.com,false,
Associated Models,link,Link to associated ML models on Monday.com,false,
Keywords,text,Keywords separated by semicolon,false,
Topics,text,Research topics separated by semicolon,false,
License,text,License type (e.g., CC-BY-4.0, MIT),false,
Status,select,Curation status: Draft, Curated, Published, Archived,false,Draft
Notes,long_text,Internal notes and commentary,false,
Created Date,datetime,When record was created,false,
Updated Date,datetime,When record was last updated,false,
