Column Name,Column Type,Description,Is Required,Default Value
Protocol Name,text,Display name of the research protocol,true,
Protocol Type,select,Type: Experimental, Computational, Clinical, Data Collection, Sample Preparation, Imaging, Sequencing, Other,false,Experimental
Protocol URL,link,URL to protocol document or online version,false,
Protocol Version,text,Version number or identifier,false,
Description,long_text,Detailed description of protocol purpose and procedure,false,
Protocol Steps,long_text,Step-by-step procedure or method description,false,
Reagents Used,text,Chemicals or biological materials separated by semicolon,false,
Instruments Used,text,Equipment or devices required separated by semicolon,false,
Estimated Duration,text,Time required to complete protocol (e.g., 2 hours),false,
Safety Considerations,long_text,Safety warnings and precautions,false,
Quality Control,long_text,Quality control measures and acceptance criteria,false,
Data Output,text,Type and format of data generated,false,
Associated Papers,link,Links to papers describing or using this protocol,false,
Associated Datasets,link,Links to datasets generated using this protocol,false,
Associated Code,link,Links to analysis code related to this protocol,false,
Associated Workflows,link,Links to computational workflows using this protocol,false,
Optimization Notes,long_text,Notes on protocol optimization and variations,false,
Troubleshooting,long_text,Common issues and troubleshooting guidance,false,
Contributors,text,Protocol developers separated by semicolon,false,
Date Published,date,Date protocol was published,false,
Date Modified,date,Last modification date,false,
License,text,License type (e.g., CC-BY-4.0),false,
Repository,link,URL to version control repository if available,false,
Citation,text,Recommended citation format,false,
Status,select,Curation status: Draft, Reviewed, Published, Archived,false,Draft
Maturity,select,Maturity level: Experimental, Validated, Standard, Deprecated,false,Validated
Notes,long_text,Internal notes and commentary,false,
Created Date,datetime,When record was created,false,
Updated Date,datetime,When record was last updated,false,
