Domain,Construct,Subconstruct,Activity Level,Agitation,Anhedonia/decreased appetitive behavior,Apathy,Avoidance,Cognition,Crying,Crying/laughing,Delusions of control,Developmental Coordinate Disorder,Disinhibition of early motor reflexes,Eye gaze aversion/contact,Hallucinations,Impulsive behaviors,Learning,physical and relational aggression,Recall,Reciprocal eye contact,Recognition,Sadness,Startle,Visual acuity,Vocalizations,Decreased libido,Eye Blink,Interactive play,Limb-Kinetic Apraxia,Memory retrieval deficits,Motor Activity,Perceptual priming,Sleep,Weakness,Attentional lapses vs sustained attention,Catatonic Stupor,Locomotor activity,Spatial localization,Wakefulness,Attentional Network Task distractibility,Compulsive behaviors,Distractibility,Distress upon separation,Eye gaze detection,Freezing,Incontinent Affect,Joint attention,Perceptual learning,Psychomotor retardation,Repetitive behaviors,Risk assessment,Stereotypic behaviors,Taste reactivity,Withdrawal,Worry,Affective states,Analgesia,Anxious Arousal,Attentional bias to negative valenced information,Attentional bias to threat,Comprehension of non-verbal gestures,Conceptual Apraxia,Discrimination,Emotional Reactivity,Executive function,Facial affect production,Facial expressions,Functional Movement Disorders,Gaze following,Gestural/postural expressions,Guilt,Head turning,Ideational Apraxia,Identification of emotion,Ideomotor Apraxia,Imitation,Imitation of facial gestures,Loss of drive,Morbid Thoughts,Neglect,Object/feature attention,Off-task behaviors,Reading,Reciprocal emotional expression,Response to distress/separation distress,Rumination,Scanning patterns,Sleep-wake,Social approach,Spatial attention,Speech (affective) prosody,Stimulus detection,Stuttering,Tics,Waking,Alien Hand Syndrome,Amotivation,Catatonic Immobility,Hyposensitivity,Motivated Behavior,Motor behaviors during sleep,Negativism,Response inhibition,Response time,Rest-activity patterns,Sensory arousal threshold,Shame,Sleep timing and variability,Coherent discourse,Anhedonia,approach (early development),"Discrimination, identification and localization",Pavlovian approach,Perceptual identification,Automatic Obedience,Behavioral observation/coding systems,Comprehension of emotional prosody,Helplessness behavior,Implicit mimicry,Increased perseverative behavior,Loss-relevant recall bias,Mimicry,Production and comprehension of words,Sleep deprivation and satiation,Sleep-rated and waking behaviors,Catatonic Rituals,Coherent sentences,Drive-regulated behaviors,Ehler Danlos S,Goal tracking,Humor comprehension,Increased conflict detection,Intermediate/ admixed sleep-wake states,Irony/sarcasm comprehension,Maintaining proximity,Masking,Metaphor comprehension,Perceptions of External Control,Perseveration,Post-error or post-conflict adjustments in performance,Preference for individual,Reward-related speeding,Sensory Reactivity,Sex-specific sleep behaviors,Sleep inertia,Sleep-dependent neurobehavioral functions,Ability to appropriately attribute animacy to other agents,Ability to identify what actions an agent is executing,Co-sleeping,"Developmentally appropriate interpretations of other intentions, goals and beliefs","Developmentally appropriate perception of one’s competences, skills, abilities beliefs, intentions, desires, and/or emotional states",Evidence that one understands ownership of one’s own body parts or action (thoughts/behaviors),Familiarity,Increased self-focus,Negative Symptoms,Neurobehavioral functions,Open field,Psychophysics,Punishment sensitivity,Sign tracking,Utilization Behavior
Negative Valence Systems,"Acute Threat (""Fear"")",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Negative Valence Systems,"Potential Threat (""Anxiety"")",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Sustained Threat,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Negative Valence Systems,Loss,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Negative Valence Systems,Frustrative Nonreward,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Reward Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Reward Satiation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Learning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
