Domain,Construct,Subconstruct,GABAergic cells,Microglia,Pyramidal cells,Betz Cells,Granule cells,medium spiny neurons,Purkinje Cells,Von Economo neurons,Glia,Neurons,Alpha Motor Neurons,Cochlear hair cells,Dopaminergic neurons,Fibroblasts,Intrinsically photosensitive retinal ganglion cells,Magnocellular oxytocin neurons,Pineal cells,Pituitary cells,SCN “clock” cells,Cortical and limbic inhibitory interneurons,Distinct types of inhibitory neurons,Intracortical Inhibitory Interneurons,Parvalbumin-positive interneurons,Striatal Interneurons,rods and cones,Hippocampal,Inhibitory and excitatory interneurons,prefrontal,"Thalamus (median thalamic nuclei, reticular nucleus)",Basal Forebrain Nuclei,Central Nucleus Amygdala,Dorsal Raphe,Locus Coeruleus,Magno (non-linear gain control),Neurons of laterodorsal tegmental nucleus,Neurons of posterior hypothalamic region (tuberomammillary nucleus),Pars tuberalis cells,Parvo,Pedunculopontine tegmental nucleus (PPT),Substantia Nigra,Tuberomammillary Nucleus,Ventral Tegmental Area,Anterior hypothalamus and basal forebrain,"Brainstem (e.g., LC, Raphe, LDT/PPT, VTA)",Calbindin,Calretinin,Face selective neurons,Lateral and perifornical hypothalamus,"Lateral, perifornical, and dorsomedial hypothalamus",Mirror neurons,Ribbon synapses
Negative Valence Systems,"Acute Threat (""Fear"")",,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,"Potential Threat (""Anxiety"")",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Sustained Threat,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Loss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Frustrative Nonreward,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Reward Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Reward Satiation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Learning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
