Domain,Construct,Subconstruct,Attachment Questionnaire for Children Scale,Barratt Impulsiveness Scale,Bartholomew and Shaver Adult Attachment Scale,Drive subscale of the Behavioral Activation Scale,Multidimensional Scale of Perceived Social Support,Positive and Negative Affect Schedule (state version),Adult Temperament Questionnaire/Children's Behavioral Questionnaire Effortful Control,Aberrant behaviors checklist,Activation-Deactivation Adjective Check List,ADHD Rating Scale (Dupaul),Adult Attachment Interview,American Society of Addiction Medicine criteria,Anxiety Sensitivity Index,Balanced Emotional Empathy Scale,Behavior Rating Inventory of Executive Function,Childhood Trauma Questionnaire,Cognitive Assessment Interview,Cognitive Failures Questionnaire,Conners impulsivity scale,Consummatory subscale of Temporal Experience of Pleasure Scale,Eating Expectancy Inventory,Fear survey schedule,Insomnia Severity Index,Intolerance of Uncertainty Scale,Levels of Emotional Awareness,Life Events and Difficulties Schedule,Lille Apathy Rating Scale,Morningness-Eveningness Questionnaire,Munich Chronotype Questionnaire,Other components of Attributional Styles Questionnaires,Profile of Mood States arousal subscale,Risky Families,Rush Video Based Tic Rating Scale,Scale for the Assessment of Negative Symptoms/Scale for the Assessment of Positive Symptoms/Positive and Negative Syndrome Scale for Schizophrenia,Self Components of Attributional Styles Questionnaire,Self-assessment Mannequin,Social Responsiveness Scale,Stress and Adversity Inventory,Temporal Experience of Pleasure Scale,Toronto Alexithymia scale,Yale Global Tic Severity Scale,Yale-Brown Obsessive Compulsive Scale total score,Youth Life Stress Interview,Berkeley Expressivity Questionnaire,Empathy Quotient,Parental Bonding Instrument,Subjective Units of Distress Scale,Attachment Style interview,Bereavement scales,"Diary-based measures of daily regularity/ rhythmicity (e.g., Social Rhythm Metric)",Fear of Negative Evaluation Scale,Frustrative Nonreward Responsiveness Subscale,Generalized reward and punishment expectancy scale,Hyperacusis,Inventory of Parent and Peer Attachment Scale,"Phase, diurnal preference, chronotype (e.g., Horne-Ostberg, CTQ)",Private Self-Consciousness,Questionnaire of Daily Frustrations,Self-monitoring scale,"Sleep quality, restoration, quantity",Traumatic Events Screening Inventory,Affective forecasting,Auditory hallucinations,Experience in Close Relationships Scale,Face dimensional rating scales,Measures of repetitive behaviors,Perceptual Aberration Scale,Perceptual anomalies of schizophrenia and depression,Perspective Taking and Empathic Concern subscales of the Interpersonal Reactivity Index,Q-Sort Method Parent Attachment interview,Self-report of craving,Social Anhedonia scale,Alertness,Arousal ratings,Dream reports,Fatigue,Sleep timing,Sleep-modulated symptoms,sleepiness,"Sleepiness, alertness, well-being, mood",Social subscales of depression,Specific sleep symptoms
Negative Valence Systems,"Acute Threat (""Fear"")",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,"Potential Threat (""Anxiety"")",,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Sustained Threat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Loss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative Valence Systems,Frustrative Nonreward,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Reward Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Responsiveness,Reward Satiation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive Valence Systems,Reward Learning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
