target_table,disease_name,mondo_id,cluster,rdoc_domain,rdoc_construct,rdoc_subconstruct,hitop_spectrum,hitop_subfactor,sign,magnitude,weight,n_sources,sources,evidence_note
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Negative Valence Systems,Loss,,,,1,0.75,+0.750,2,Cheniaux 2008 J Affect Disord PMID:18243348; Pagel 2013 Eur Arch Psychiatry Clin Neurosci PMID:22895709,Depressive episodes are diagnostic; sustained low mood/grief response (positive-direction sustained dysphoria).
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.55,-0.550,1,Strauss 2014 Schizophr Bull PMID:24375456,Anticipatory anhedonia present in negative-symptom phases (less studied than SCZ).
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Cognitive Systems,Attention,,,,-1,0.8,-0.800,2,Bora 2009 Schizophr Bull PMID:19833886; Reichenberg 2009 Schizophr Bull PMID:19429846,Attention deficits intermediate between SCZ and bipolar; moderate-to-large effect.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Cognitive Systems,Perception,Auditory Perception,,,1,0.9,+0.900,2,Heckers 2009 Schizophr Bull PMID:19465513; Pagel 2013 Eur Arch Psychiatry Clin Neurosci PMID:22895709,Auditory hallucinations occur at rates comparable to schizophrenia; gain-direction.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Cognitive Systems,Declarative Memory,,,,-1,0.85,-0.850,2,Bora 2009 Schizophr Bull PMID:19833886; Amann 2017 Schizophr Bull PMID:27338279,Verbal memory impairment comparable to schizophrenia; large effect.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Cognitive Systems,Language,,,,-1,0.6,-0.600,2,Heckers 2009 Schizophr Bull PMID:19465513; Cheniaux 2008 J Affect Disord PMID:18243348,Formal thought disorder occurs particularly in psychotic phases.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Cognitive Systems,Cognitive Control,"Goal Selection; Updating, Representation, and Maintenance",,,-1,0.75,-0.750,2,Bora 2009 Schizophr Bull PMID:19833886; Amann 2017 Schizophr Bull PMID:27338279,Executive function deficits well documented.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Cognitive Systems,Working Memory,Active Maintenance,,,-1,0.8,-0.800,2,Bora 2009 Schizophr Bull PMID:19833886; Reichenberg 2009 Schizophr Bull PMID:19429846,Working memory deficits comparable to schizophrenia.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Social Processes,Social Communication,Reception of Facial Communication,,,-1,0.7,-0.700,2,Bora 2016 Acta Psychiatr Scand PMID:26714098; Mancuso 2011 Schizophr Res PMID:21353471,"Emotion recognition deficits present, comparable to schizophrenia (medium-large)."
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Social Processes,Perception and Understanding of Self,Agency,,,1,0.65,+0.650,1,Heckers 2009 Schizophr Bull PMID:19465513,Delusions of control/passivity occur during psychotic episodes.
