Category,Subcategory,Neurotransmitter_System,Mode_of_Action,Drug_Name,Classification_Type,PubChem_CID,ChEMBL_ID,DrugBank_ID,KEGG_Drug_ID,Molecular_Formula,Molecular_Weight,SMILES,InChI_Key,Target_Genes,Target_Proteins,Primary_Pathway,Secondary_Pathways,Half_Life_Hours,Bioavailability_Percent,Protein_Binding_Percent,Metabolism_Enzymes,Active_Metabolites,Common_Side_Effects,Serious_Side_Effects,FDA_Black_Box_Warning,Contraindications,Drug_Interactions,Pregnancy_Category,Generic_Available,Brand_Names
Antidepressant,TCA,Norepinephrine,Reuptake inhibitor (NET),Desipramine,Former_Terminology,2995,CHEMBL14,DB01151,D03809,C18H22N2,266.38,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C13,HCYAFALTSJYQTD-UHFFFAOYSA-N,SLC6A2,NET,Norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",12-30,>90,82-87,CYP2D6,2-hydroxydesipramine,"Dry mouth,constipation,blurred vision,orthostatic hypotension","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,SSRIs",C,Yes,Norpramin
Antidepressant,TCA,Norepinephrine,Reuptake inhibitor (NET),Protriptyline,Former_Terminology,4842,CHEMBL737,DB00777,D08438,C19H21N,263.38,CNCC/C=C1/C2=CC=CC=C2CCC3=CC=CC=C13,PHVGLTMQBUFIQQ-LURJTMIESA-N,SLC6A2,NET,Norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",54-92,75-93,90-95,CYP2D6,Unknown,"Dry mouth,constipation,blurred vision,drowsiness","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,alcohol",C,Yes,Vivactil
Antidepressant,TCA,Norepinephrine,Reuptake inhibitor (NET),Nortriptyline,Former_Terminology,4543,CHEMBL445,DB00540,D07941,C19H21N,263.38,CNCC/C=C1/C2=CC=CC=C2CCC3=CC=CC=C13,PHVGLTMQBUFIQQ-LURJTMIESA-N,SLC6A2,NET,Norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",16-90,51,93-95,"CYP2D6,CYP1A2",10-hydroxynortriptyline,"Dry mouth,constipation,blurred vision,drowsiness","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,cimetidine",D,Yes,Pamelor
Antidepressant,TCA,"Norepinephrine, Serotonin",Reuptake inhibitor (NET and SERT),Lofepramine,Former_Terminology,3998,CHEMBL1201,DB04391,D07760,C26H27ClN2O,418.96,CLCCCN(CCC1=CC=CC=C1)C(=O)N2C3=CC=CC=C3CCC4=CC=CC=C24,UZFFNXDRRSWRBE-UHFFFAOYSA-N,"SLC6A2,SLC6A4","NET,SERT",Norepinephrine/serotonin neurotransmission,"Muscarinic,histaminergic,adrenergic",12-24,>90,Unknown,Hepatic,Desipramine,"Dry mouth,constipation,drowsiness,nausea","Cardiac arrhythmias,seizures,hepatotoxicity",None,"MAOIs,severe liver disease","MAOIs,CYP2D6 inhibitors",C,Yes,Gamanil
Antidepressant,TCA,"Norepinephrine, Serotonin",Reuptake inhibitor (NET and SERT),Amoxapine,Former_Terminology,2170,CHEMBL476,DB00543,D00228,C17H16ClN3O,313.78,Clc1ccc2N3CCNCC3c4c(Nc2n1)cccc4O,QWGDMFLQWQPLHX-UHFFFAOYSA-N,"SLC6A2,SLC6A4,DRD2","NET,SERT,D2",Norepinephrine/serotonin/dopamine neurotransmission,"Muscarinic,histaminergic,adrenergic",8,>90,90,CYP2D6,"7-hydroxyamoxapine,8-hydroxyamoxapine","Dry mouth,constipation,blurred vision,drowsiness","Tardive dyskinesia,neuroleptic malignant syndrome,seizures",None,"MAOIs,recent MI","MAOIs,anticholinergics,antipsychotics",C,Yes,Asendin
Antidepressant,TCA,"Serotonin, Norepinephrine",Reuptake inhibitor (SERT and NET),Imipramine,Former_Terminology,3696,CHEMBL24,DB00458,D08070,C19H24N2,280.41,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C13,BCGWQEQRNDGQGR-UHFFFAOYSA-N,"SLC6A4,SLC6A2","SERT,NET",Serotonin/norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",6-28,43,76-95,"CYP2D6,CYP1A2,CYP3A4",Desipramine,"Dry mouth,constipation,blurred vision,drowsiness,weight gain","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,cimetidine",D,Yes,Tofranil
Antidepressant,TCA,"Serotonin, Norepinephrine",Reuptake inhibitor (SERT and NET),Dosulepin,Former_Terminology,3155,CHEMBL744,DB04857,D07877,C19H21NS,295.45,CN(C)CCC=C1C2=CC=CC=C2SC3=CC=CC=C13,PHTUQLWOUWZIMZ-UHFFFAOYSA-N,"SLC6A4,SLC6A2","SERT,NET",Serotonin/norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",18-40,30,84,CYP2D6,Northiaden,"Dry mouth,constipation,blurred vision,drowsiness","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,alcohol",C,Yes,Prothiaden
Antidepressant,TCA,"Serotonin, Norepinephrine",Reuptake inhibitor (SERT and NET),Clomipramine,Former_Terminology,2801,CHEMBL108,DB01242,D00289,C19H23ClN2,314.85,CN(C)CCCN1C2=CC=CC=C2CCC3=CC(Cl)=CC=C13,GDLIGKIOYRNPFZ-UHFFFAOYSA-N,"SLC6A4,SLC6A2,SLC6A3","SERT,NET,DAT",Serotonin/norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",17-28,36-62,97-98,"CYP2D6,CYP1A2,CYP3A4",Desmethylclomipramine,"Dry mouth,constipation,blurred vision,drowsiness,sexual dysfunction","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,SSRIs",C,Yes,Anafranil
Antidepressant,TCA,"Serotonin, Norepinephrine","Reuptake inhibitor (SERT and NET), receptor antagonist (5-HT2)",Amitriptyline,Former_Terminology,2160,CHEMBL11,DB00321,D07448,C20H23N,277.4,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,KRMDKLBFCKPJMN-UHFFFAOYSA-N,"SLC6A4,SLC6A2,HTR2A","SERT,NET,5-HT2A",Serotonin/norepinephrine neurotransmission,"Muscarinic,histaminergic,adrenergic",10-1,45,95,"CYP2D6,CYP1A2,CYP3A4",Nortriptyline,"Dry mouth,constipation,blurred vision,drowsiness,weight gain","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,alcohol",C,Yes,Elavil
Antidepressant,TCA,"Norepinephrine, Serotonin","Reuptake inhibitor (NET and SERT), receptor antagonist (5-HT2)",Doxepin,Former_Terminology,3158,CHEMBL12,DB01142,D00809,C19H21NO,279.38,CN(C)CCC=C1C2=CC=CC=C2OC3=CC=CC=C13,ODQWQRRAPPTVAG-GZTJUZNOSA-N,"SLC6A2,SLC6A4,HTR2A,HRH1","NET,SERT,5-HT2A,H1",Norepinephrine/serotonin neurotransmission,"Muscarinic,histaminergic,adrenergic",8-24,13-45,68-85,"CYP2D6,CYP1A2,CYP3A4",Desmethyldoxepin,"Dry mouth,constipation,blurred vision,drowsiness,weight gain","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,alcohol",C,Yes,Sinequan
Antidepressant,TCA,"Serotonin, Dopamine",Receptor antagonist (5-HT2 and D2),Trimipramine,Former_Terminology,5584,CHEMBL458,DB00726,D08636,C20H26N2,294.43,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C,ZSCDBOWYZJWBIY-UHFFFAOYSA-N,"HTR2A,DRD2","5-HT2A,D2",Serotonin/dopamine neurotransmission,"Muscarinic,histaminergic,adrenergic",7-30,18-63,95,"CYP2D6,CYP2C19",2-hydroxytrimipramine,"Dry mouth,constipation,blurred vision,drowsiness,weight gain","Cardiac arrhythmias,seizures,anticholinergic toxicity",None,"MAOIs,recent MI,arrhythmias","MAOIs,anticholinergics,alcohol",C,Yes,Surmontil
