root	section	doc_type	variant	symlink	symlink_target	size_kb	status	date	tags	title	path
docs	(root)	readme	primary	no		2.5				Cytognosis Documentation	repos/cytognosis/docs/README.md
docs	(root)	config/schema	primary	no		4.6					repos/cytognosis/docs/mkdocs.yml
docs	(root)	other	primary	no		0.1					repos/cytognosis/docs/.gitignore
docs	(root)	other	primary	no		15.1				Reorg Notes: Universal Taxonomy 2026-06-12	repos/cytognosis/docs/REORG_NOTES.md
docs	.github	config/schema	primary	no		1.0					repos/cytognosis/docs/.github/workflows/docs.yml
docs	04-Engineering	engineering	primary	no		31.9				**Cytognosis External Resource Directory**	repos/cytognosis/docs/04-Engineering/repos.md
docs	04-Engineering	engineering	primary	no		568.4				**30-second TL;DR**	repos/cytognosis/docs/04-Engineering/cytognosis_tools_consolidated.md
docs	04-Engineering	engineering	primary	no		22.2				Cytognosis Python defaults for neuroimaging and neuroelectrophysiology (2026)	repos/cytognosis/docs/04-Engineering/cytognosis_python_defaults_neuroimaging_2026.md
docs	04-Engineering	engineering	primary	no		41.1				CytoExplorer Interface Research	repos/cytognosis/docs/04-Engineering/cytolens/cytoexplorer/interface-research.md
docs	04-Engineering	readme	primary	no		8.0				Cytognosis Interface and Fabric Design	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/README.md
docs	04-Engineering	engineering	primary	no		35.1				Refactor Brief: cytoskeleton, cytocast, cytoagent (plus the branding repo)	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/01_refactor_brief.md
docs	04-Engineering	engineering	primary	no		48.1				Cytognosis Platform Architecture: Master Design	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/00_master_architecture.md
docs	04-Engineering	engineering	primary	no		9.6				Claude Design Brief: Web Template (Delta)	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/template_web_delta.md
docs	04-Engineering	readme	primary	no		5.4				Claude Design Briefs	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/README.md
docs	04-Engineering	engineering	primary	no		10.8				Claude Design Brief: Desktop Template (Delta)	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/template_desktop_delta.md
docs	04-Engineering	engineering	primary	no		19.3				Claude Design Brief: Cytognosis Design System	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/design_system_brief.md
docs	04-Engineering	engineering	primary	no		10.3				Claude Design Brief: Browser Extension Template (Delta)	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/template_extension_delta.md
